species,phenotype,BLUP_mean,LASSO_mean,SVR_mean,RF_mean,XGB_mean,MLP_mean,CNN_mean,LCNN_mean,BLUP_std,LASSO_std,SVR_std,RF_std,XGB_std,MLP_std,CNN_std,LCNN_std
Simulation,sim15_shift,0.322232369523493,0.4521220403754905,0.3460131277879264,0.3157356242634968,0.4230220107398909,0.3034874650295809,0.2344384856435763,0.3398733893987176,0.013426637646162,0.0191049032633054,0.0096152903857293,0.0177562950914797,0.0328855087770192,0.0232531792632907,0.0688551261071022,0.0619547338619281
Simulation,sim16_shift,0.2911065803948047,0.367044908453054,0.2999731086428073,0.2695834824374838,0.3512510361565842,0.2720772941105629,0.2555550229861844,0.2165634851220091,0.0522413102988308,0.0283993423207645,0.0463641279792992,0.0381052985135902,0.1089211408999059,0.0508087392390052,0.0399609014741034,0.0678287499748106
Simulation,sim17_shift,0.3420745930435827,0.5605741204576317,0.3536247861143036,0.2278839926413633,0.5210285639981382,0.291272964069498,0.3309314341498278,0.3667762812523416,0.0430887235267421,0.0019046775020409,0.0410918667245503,0.0120231807209249,0.0197264458421394,0.0290210030537284,0.0121545018989942,0.0222992501754006
Simulation,sim20_shift,0.3822612797520079,0.5454865279090367,0.3795752001896846,0.3695063268141261,0.4928783941413668,0.327218930088135,-0.0288701420080555,0.356012440308636,0.00921984315786,0.0265726802066903,0.044409470746307,0.0510868425811722,0.04996405802144,0.0804852167626406,0.3874613542574848,0.0833767033897525
Simulation,sim18_shift,0.1760237632814972,0.1814823233148789,0.1941255510802648,0.1712502025906103,0.0511744579872285,-0.2544879640623675,0.0279380986476959,0.1263251231899333,0.0352331828385166,0.0541426210410267,0.0300864111923672,0.0474548935333125,0.042558929423681,0.2520857085138202,0.0197627605977951,0.0531886888226932
Simulation,sim21_shift,0.4029416118665823,0.4510731000067194,0.4136958082327546,0.3053819147060467,0.4368134378462914,0.2995359313918502,0.2905306683365184,0.3065762135012101,0.0344460566196312,0.0331570903653252,0.0337481622796435,0.0193799438589803,0.0440798485622567,0.0687478372258045,0.0605283010508884,0.0529716614340474
Simulation,sim19_shift,0.2536876475040483,0.3072837457236032,0.2724751547435796,0.2062139028161354,0.2931138933279849,0.2668349916511168,0.2191375987500769,0.2152061095190594,0.0754446937005744,0.0302167127187422,0.0661589060877207,0.0463748833129511,0.0727771691478136,0.0759092036564691,0.0933628243062364,0.0908970914254247
Simulation,sim22_shift,0.3393410739561786,0.5178381914343321,0.3388695093273238,0.3156440776474382,0.4827457923778529,0.1616505430669432,0.2202817213777529,0.3605680029271325,0.0563006403749547,0.0471015905379029,0.0585803923346339,0.0841272754249315,0.0656528604450406,0.1931967762753521,0.0580998234551686,0.0326686493736162
Simulation,sim23_shift,0.140807776698823,0.2223971710763012,0.1065998967820751,0.0751676118955537,0.1017319133152675,-0.2628409161730456,-0.0869430007133045,-0.0608733934402978,0.0602805641805112,0.0724723175469284,0.0202510086048165,0.0110036094934396,0.1196219097944065,0.1623924815743335,0.1698474278596444,0.0368397013460008
Simulation,sim24_shift,0.0459208805029874,0.260899846294844,0.0496684130679683,0.0710576961394024,0.2756105087243747,0.0372338911053261,0.0479248218041027,0.080692412061623,0.0261926207883541,0.0068439994419415,0.0249470862312789,0.033051946633579,0.078730199457445,0.0661079837736006,0.0517390316264486,0.0364914525397048
Simulation,sim25_shift,0.1390280675854446,0.4411563912818022,0.201164233427585,0.2079838042640408,0.3959888306031804,0.1268449692479765,0.2076323259585871,0.2164521755482821,0.086065321397043,0.0425972666175848,0.0708458277149077,0.0526004102084567,0.0611072838329648,0.1706295177901876,0.088521635880661,0.155777523901508
Simulation,sim26_shift,0.1977964384017827,0.4108256674201143,0.2714392548090735,0.2370840191930728,0.4330001165621802,0.2239505271002733,0.3031161535098913,0.2689242114748454,0.0265509825376861,0.0072224499414123,0.0184512095730242,0.0165737194268956,0.0076594549934937,0.0519597898340469,0.0322790991715841,0.0315005887535863
Simulation,sim30_shift,0.2779427357590398,0.3658992516923676,0.3028447881426284,0.2636846267605568,0.3368077340248592,0.1167401334911166,-0.396031046245197,0.215959377536905,0.0245495408428817,0.0653897611020043,0.0247823443641424,0.0304492078400142,0.0392816069899967,0.1426518381334904,0.6698215875478933,0.0312313453803924
Simulation,sim29_shift,0.2500096394868629,0.3783098377668465,0.2621925726719811,0.1201647137538848,0.3046732034009365,0.1879261472428911,0.2016872267128261,0.1846978477518699,0.0529734010320428,0.0166790873268379,0.0493993864835574,0.0120607972935868,0.0230680098736269,0.0321007337624136,0.0452605290735652,0.1193343072041382
Simulation,sim27_shift,0.119141326435618,0.2108047410716687,0.1625311525035523,0.1504651222003039,0.3163225259066136,0.0695664102017975,0.1223183537550848,0.1400258671119733,0.0465694564722825,0.0535846002279333,0.0482497449099046,0.0585225907097129,0.085157128882233,0.1598585123564248,0.03761942111902,0.031818975535944
Simulation,sim28_shift,0.2865561834451599,0.3151307782009411,0.3004436614068256,0.2394047841570897,0.2825867607276381,0.2799105114327467,0.2531239652924597,0.1959694363323459,0.0860702480268033,0.1026666650590305,0.0709522967251443,0.0730670434993474,0.0700729166354531,0.0749428186637023,0.0620784452785274,0.0760758522082132
Simulation,sim34_shift,0.5993888609053711,0.6950453731795685,0.6000628290266234,0.5084816258113971,0.6215091490744226,0.5563713784845662,0.5589466107676122,0.5302894409243365,0.0214374330523255,0.0219543345208503,0.0198219538575901,0.0200622918040917,0.028148484212375,0.0197225044786599,0.0193319451431468,0.0220184564490344
