simulation,seed,heritability,samples,SNPs,explained_var,causal_marker,causal_beta,effect,distribution,shape
15,56,0.85,1000,1,[0.3],['3713086_2'],[2.200853735039417],add,normal,
16,57,0.85,500,1,[0.3],['1500721_2'],[2.5654350242451804],add,normal,
17,58,0.85,2000,1,[0.3],['12182306_1'],[2.313446697333938],add,normal,
18,59,0.85,100,1,[0.3],['18585682_3'],[1.8492056518455424],add,normal,
19,60,0.85,1000,2,"[0.05, 0.05, 0.2]",['10008115_1' '22457990_5'],"[0.8696878222490425, 0.9226928507761566, 3.6247617184708227]",mult,normal,
20,61,0.85,1000,5,[0.03820736 0.04022628 0.06823489 0.06858606 0.08474541],['11266535_1' '8273556_3' '17620612_3' '24104681_5' '16288589_2'],"[0.7557897833823718, 0.9835666354854374, 1.0850852969297007, 1.341425700044392, 1.3845401190622597]",add,normal,
21,62,0.85,1000,1,[0.3],['25867041_1'],[1.9393294311424079],add,gamma,4.0
22,63,0.85,1000,1,[0.3],['13664691_4'],[2.7805613928016895],add,gamma,1.0
