simulation,seed,heritability,samples,SNPs,explained_var,causal_marker,causal_beta,effect,distribution,shape
39,80,0.85,1000,2,"[0.01, 0.01, 0.28]",['2820880_1' '7069591_1'],"[0.33878764102890235, 0.3480637021125925, 5.465111834754105]",mult,normal,
40,81,0.7,1000,2,"[0.01, 0.01, 0.28]",['9618851_4' '11652897_4'],"[0.5246464445081439, 0.4118890962062129, 6.282099336844857]",mult,normal,
41,82,0.95,1000,2,"[0.01, 0.01, 0.28]",['11488251_5' '6639354_5'],"[0.2596050207529084, 0.2725308764902463, 1.2391299078762257]",mult,normal,
